Наименование,Старая ценаЦена,Код товара
"Жидкое мыло Absolut KIDS череда антибактериальное 250 мл
",101 с,95 с,Код: Z0000075787
"Мыло Absolut KIDS календула антибактериальное
",48 с,45 с,Код: Z0000075773
"Жидкое мыло Зайка Моя Увлажняй-ка! 280 мл
",,85 с,Код: Z0000075986
"Жидкое мыло Зайка Моя Укрепляй-ка! 280 мл
",106 с,100 с,Код: Z0000075985
"Мыло Зайка Моя Укрепляй-ка!
",32 с,30 с,Код: Z0000075982
"Мыло для тела Babylove детское 100 г
",91 с,90 с,Код: Z0000075234
"Детское крем-мыло Ecolab
",248 с,241 с,Код: Z0000061697
